City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Phillaur,IN,75.13,clear sky,31.0292,75.7842,Prithvi Resorts
4,Chuy,UY,63.72,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
5,Viedma,AR,73.51,few clouds,-40.8135,-62.9967,Hotel Cristal
8,Jamestown,US,67.05,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
10,Mahebourg,MU,71.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
12,Cape Town,ZA,60.1,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
15,Pagudpud,PH,78.94,few clouds,18.5616,120.7868,Saud Beach Resort and Hotel - 2
16,Puerto Madryn,AR,66.27,clear sky,-42.7692,-65.0385,Hotel Tolosa
22,Quatre Cocos,MU,71.71,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
23,Tripoli,LY,74.79,clear sky,32.8752,13.1875,Al Waddan Hotel
24,Albany,US,64.89,overcast clouds,42.6001,-73.9662,
25,Vaini,TO,76.48,light rain,-21.2,-175.2,Keleti Beach Resort
27,Marsa Matruh,EG,73.6,clear sky,31.3525,27.2453,Beau Site
28,Rikitea,PF,69.01,clear sky,-23.1203,-134.9692,People ThankYou
30,Caravelas,BR,77.31,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
33,North Bend,US,70.16,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
38,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
42,Sao Filipe,CV,79.45,scattered clouds,14.8961,-24.4956,Hotel Xaguate
44,Chokwe,MZ,75.97,clear sky,-24.5333,32.9833,Complexo Sonho Real
45,Pervomayskoye,RU,66.33,overcast clouds,43.919,46.7102,
48,Castro,BR,72.81,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
50,Sao Joao Da Barra,BR,77.09,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
