City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Newport,GB,51.5877,-2.9984,55.94,79,0,20.02,clear sky
1,Mataura,NZ,-46.1927,168.8643,37.47,89,100,8.08,overcast clouds
2,Ushuaia,AR,-54.8,-68.3,51.46,43,40,11.5,scattered clouds
3,Phillaur,IN,31.0292,75.7842,75.13,57,0,7.05,clear sky
4,Chuy,UY,-33.6971,-53.4616,63.72,67,90,13.53,overcast clouds
5,Viedma,AR,-40.8135,-62.9967,73.51,24,19,15.3,few clouds
6,Punta Arenas,CL,-53.15,-70.9167,53.71,43,75,16.11,broken clouds
7,Thompson,CA,55.7435,-97.8558,32.16,69,75,18.41,broken clouds
8,Jamestown,US,42.097,-79.2353,67.05,45,0,11.5,clear sky
9,Ocos,GT,14.5094,-92.1933,83.23,72,100,4.99,overcast clouds
10,Mahebourg,MU,-20.4081,57.7,71.89,73,40,8.05,scattered clouds
11,New Norfolk,AU,-42.7826,147.0587,49.5,69,100,1.99,overcast clouds
12,Cape Town,ZA,-33.9258,18.4232,60.1,62,0,5.99,clear sky
13,Cabo San Lucas,MX,22.8909,-109.9124,91.62,57,6,4.18,clear sky
14,Bredasdorp,ZA,-34.5322,20.0403,51.37,90,0,5.28,clear sky
15,Pagudpud,PH,18.5616,120.7868,78.94,85,23,11.36,few clouds
16,Puerto Madryn,AR,-42.7692,-65.0385,66.27,31,2,21.68,clear sky
17,Rokytne,UA,51.2796,27.214,51.35,78,100,9.26,overcast clouds
18,Tuatapere,NZ,-46.1333,167.6833,38.01,85,100,14.56,overcast clouds
19,Hobart,AU,-42.8794,147.3294,49.86,81,75,13.8,broken clouds
20,Dikson,RU,73.5069,80.5464,30.49,76,92,6.55,overcast clouds
21,Qaanaaq,GL,77.484,-69.3632,6.98,73,50,7.72,scattered clouds
22,Quatre Cocos,MU,-20.2078,57.7625,71.71,69,57,13.31,broken clouds
23,Tripoli,LY,32.8752,13.1875,74.79,58,3,15.05,clear sky
24,Albany,US,42.6001,-73.9662,64.89,74,98,3.78,overcast clouds
25,Vaini,TO,-21.2,-175.2,76.48,87,100,13.56,light rain
26,Moussoro,TD,13.6408,16.4901,92.8,29,83,4.61,broken clouds
27,Marsa Matruh,EG,31.3525,27.2453,73.6,60,0,11.5,clear sky
28,Rikitea,PF,-23.1203,-134.9692,69.01,64,0,22.28,clear sky
29,Pangoa,PE,-12.1167,-73.0,85.93,56,100,2.3,overcast clouds
30,Caravelas,BR,-17.7125,-39.2481,77.31,75,79,11.16,broken clouds
31,Tiksi,RU,71.6872,128.8694,23.16,78,96,19.26,overcast clouds
32,Kapaa,US,22.0752,-159.319,80.58,83,100,5.75,light rain
33,North Bend,US,43.4065,-124.2243,70.16,88,0,6.91,clear sky
34,Lompoc,US,34.6391,-120.4579,90.01,82,20,5.01,few clouds
35,Hermanus,ZA,-34.4187,19.2345,55.8,81,0,12.68,clear sky
36,Lufilufi,WS,-13.8745,-171.5986,83.98,79,31,21.09,light rain
37,Svobodnyy,RU,51.4,128.1333,28.15,64,16,8.46,few clouds
38,Avarua,CK,-21.2078,-159.775,77.05,69,40,17.27,scattered clouds
39,Yumen,CN,40.2833,97.2,41.09,58,6,4.18,clear sky
40,Fremont,US,37.5483,-121.9886,88.61,57,0,5.75,haze
41,Srednekolymsk,RU,67.45,153.6833,20.53,88,100,23.2,light snow
42,Sao Filipe,CV,14.8961,-24.4956,79.45,80,50,6.76,scattered clouds
43,Beringovskiy,RU,63.05,179.3167,44.19,92,100,27.98,moderate rain
44,Chokwe,MZ,-24.5333,32.9833,75.97,71,0,4.83,clear sky
45,Pervomayskoye,RU,43.919,46.7102,66.33,63,100,9.37,overcast clouds
46,Hilo,US,19.7297,-155.09,86.29,75,40,3.44,scattered clouds
47,Chokurdakh,RU,70.6333,147.9167,16.18,97,96,5.61,overcast clouds
48,Castro,BR,-24.7911,-50.0119,72.81,70,100,2.24,overcast clouds
49,Kavaratti,IN,10.5669,72.642,81.19,79,78,15.39,broken clouds
50,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,85,73,11.1,broken clouds
51,Manokwari,ID,-0.8667,134.0833,77.54,76,99,2.35,overcast clouds
52,Norman Wells,CA,65.282,-126.8329,42.84,75,40,13.8,scattered clouds
53,Khatanga,RU,71.9667,102.5,6.4,99,84,3.0,broken clouds
54,Ranong,TH,9.9658,98.6348,77.61,91,100,3.71,overcast clouds
55,Yellowknife,CA,62.456,-114.3525,37.92,65,75,12.66,broken clouds
56,Abnub,EG,27.2696,31.1511,80.82,32,0,7.67,clear sky
57,Lagoa,PT,39.05,-27.9833,69.01,84,100,20.71,light rain
58,Constitucion,CL,-35.3333,-72.4167,57.38,70,2,13.31,clear sky
59,Nivala,FI,63.9167,24.9667,46.69,98,100,9.04,overcast clouds
60,Port Alfred,ZA,-33.5906,26.891,62.19,89,93,5.01,overcast clouds
61,Bengkulu,ID,-3.8004,102.2655,76.1,84,100,3.15,moderate rain
62,Busselton,AU,-33.65,115.3333,48.6,63,12,8.5,few clouds
63,Lavrentiya,RU,65.5833,-171.0,38.43,90,100,23.24,overcast clouds
64,Bilibino,RU,68.0546,166.4372,21.13,88,100,7.61,light snow
65,Bluff,NZ,-46.6,168.3333,38.8,69,94,22.03,overcast clouds
66,Mehamn,NO,71.0357,27.8492,42.75,75,0,19.57,clear sky
67,Katsuura,JP,35.1333,140.3,59.02,86,100,24.14,light rain
68,Vryburg,ZA,-26.9566,24.7284,70.07,21,89,4.07,overcast clouds
69,Port Elizabeth,ZA,-33.918,25.5701,61.32,85,40,9.22,scattered clouds
70,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,78,100,10.36,overcast clouds
71,Ponta Do Sol,PT,32.6667,-17.1,73.0,89,100,5.95,overcast clouds
72,Hithadhoo,MV,-0.6,73.0833,82.27,74,100,18.43,overcast clouds
73,Bassila,BJ,9.0081,1.6654,73.04,92,100,4.09,overcast clouds
74,Tangping,CN,22.0265,111.9323,75.56,91,9,4.27,clear sky
75,Kahului,US,20.8947,-156.47,86.02,68,40,13.8,scattered clouds
76,Talnakh,RU,69.4865,88.3972,23.49,93,87,3.38,overcast clouds
77,Upernavik,GL,72.7868,-56.1549,19.15,79,56,5.12,broken clouds
78,Narsaq,GL,60.9167,-46.05,36.07,90,100,11.92,overcast clouds
79,Gualeguaychu,AR,-33.0094,-58.5172,77.18,29,100,12.48,overcast clouds
80,San Vito,CR,8.8208,-82.9709,70.97,90,100,3.06,overcast clouds
81,East London,ZA,-33.0153,27.9116,65.91,82,100,9.78,overcast clouds
82,Marsala,IT,37.7966,12.4352,70.93,73,0,4.61,clear sky
83,Yar-Sale,RU,66.8333,70.8333,33.03,90,26,8.81,scattered clouds
84,San Jeronimo,PE,-11.9472,-75.2829,67.03,27,35,3.83,scattered clouds
85,Atuona,PF,-9.8,-139.0333,77.31,71,1,14.99,clear sky
86,Omsukchan,RU,62.5333,155.8,11.48,95,100,6.13,overcast clouds
87,Victoria Point,AU,-27.5833,153.3,63.91,90,100,5.86,overcast clouds
88,Ihosy,MG,-22.4,46.1167,68.27,65,0,7.52,clear sky
89,Saskylakh,RU,71.9167,114.0833,4.24,98,81,4.56,broken clouds
90,Susangerd,IR,31.5608,48.1831,89.28,14,0,11.52,clear sky
91,Tsiroanomandidy,MG,-18.7667,46.0333,73.65,31,0,2.71,clear sky
92,Camana,PE,-16.6228,-72.7111,63.28,71,72,11.07,broken clouds
93,Bisert,RU,56.8617,59.0523,44.62,53,100,5.28,overcast clouds
94,Port Augusta,AU,-32.5,137.7667,57.61,81,0,1.59,clear sky
95,Saldanha,ZA,-33.0117,17.9442,57.25,77,1,9.28,clear sky
96,Sitka,US,57.0531,-135.33,60.69,77,100,17.27,light rain
97,Port Hardy,CA,50.6996,-127.4199,60.98,82,75,3.44,broken clouds
98,Saryozek,KZ,44.3583,77.9753,45.0,57,0,3.38,clear sky
99,Martil,MA,35.6166,-5.2752,71.56,73,40,4.61,scattered clouds
100,Butaritari,KI,3.0707,172.7902,81.79,71,9,20.27,clear sky
101,Dingle,PH,10.9995,122.6711,76.57,89,99,6.15,overcast clouds
102,Ahar,IR,38.4774,47.0699,61.81,52,0,1.9,clear sky
103,Comodoro Rivadavia,AR,-45.8667,-67.5,64.26,24,20,24.16,few clouds
104,Padang,ID,-0.9492,100.3543,76.93,87,100,4.27,overcast clouds
105,Terney,RU,45.0503,136.6092,36.0,65,3,7.76,clear sky
106,Yambio,SS,4.5721,28.3955,68.61,96,66,3.51,moderate rain
107,Nabire,ID,-3.3667,135.4833,74.71,93,92,3.22,overcast clouds
108,Yining,CN,29.0361,114.5636,57.15,85,100,2.46,overcast clouds
109,Dakar,SN,14.6937,-17.4441,84.33,84,40,13.8,scattered clouds
110,Swellendam,ZA,-34.0226,20.4417,52.57,92,3,4.88,clear sky
111,Quelimane,MZ,-17.8786,36.8883,76.95,88,0,8.05,clear sky
112,Nome,US,64.5011,-165.4064,32.07,86,0,0.0,clear sky
113,Ahmadpur,IN,18.7,76.9333,71.17,98,100,5.21,moderate rain
114,Outlook,CA,51.5001,-107.0513,52.23,42,100,11.23,overcast clouds
115,Waddan,LY,29.1614,16.139,74.37,57,0,12.59,clear sky
116,Labuhan,ID,-6.8844,112.2051,77.29,84,100,11.65,overcast clouds
117,Mount Barker,AU,-35.0667,138.8667,53.67,97,0,4.36,clear sky
